NAME,GEO_ID,total,total_moe,nh_white,nh_white_moe,nh_black,nh_black_moe,nh_native,nh_native_moe,nh_asian,nh_asian_moe,nh_pi,nh_pi_moe,nh_1other,nh_1other_moe,nh_multi,nh_multi_moe,hispanic,hispanic_moe,state,county
"Siskiyou County, California",0500000US06093,43834,-555555555,32529,155,722,119,1234,133,697,119,170,48,99,71,2626,258,5757,-555555555,06,093
"Solano County, California",0500000US06095,450824,-555555555,154748,679,56789,1289,1252,299,70209,1513,3673,384,3928,1036,29597,2176,130628,-555555555,06,095
"Sonoma County, California",0500000US06097,485642,-555555555,287210,970,7062,558,1482,370,20857,727,1511,221,2311,538,22223,1454,142986,-555555555,06,097
"Stanislaus County, California",0500000US06099,552250,-555555555,207182,721,14636,945,1549,332,31630,947,2878,446,1882,616,20706,1496,271787,-555555555,06,099
"Sutter County, California",0500000US06101,98971,-555555555,41558,422,1578,235,669,163,16877,513,347,56,1075,404,4806,696,32061,-555555555,06,101
"Tehama County, California",0500000US06103,65520,-555555555,41228,490,541,195,743,221,1171,145,63,61,468,329,2848,539,18458,-555555555,06,103
"Trinity County, California",0500000US06105,15886,-555555555,12595,320,146,123,331,192,385,146,83,92,519,418,891,384,936,-555555555,06,105
"Tulare County, California",0500000US06107,475774,-555555555,125098,979,6156,418,2223,235,16241,706,583,106,1816,886,9407,1040,314250,-555555555,06,107
"Tuolumne County, California",0500000US06109,54873,-555555555,43120,134,881,157,539,135,686,148,162,22,322,186,1913,251,7250,-555555555,06,109
"Ventura County, California",0500000US06111,838259,-555555555,359342,919,14033,618,1324,262,59234,1302,1258,185,4105,819,31447,1594,367516,-555555555,06,111
"Yolo County, California",0500000US06113,217782,-555555555,93721,564,5364,389,892,203,31568,724,842,121,1188,407,11860,872,72347,-555555555,06,113
"Yuba County, California",0500000US06115,83079,-555555555,42130,371,2920,302,505,172,6195,434,224,98,394,255,5824,590,24887,-555555555,06,115
